source_dataset,record_id,distance_km,weather_condition,traffic_level,time_of_day,vehicle_type,gig_type,temperature_c,humidity_pct,precipitation_mm,preparation_time_min,courier_experience_yrs,worker_age,worker_rating,order_type,delivery_time_min,congestion_ratio,weather_risk,traffic_risk,news_risk,context_mult,severity_score,claim_triggered,risk_band,coverage_amount,payout_estimate
,585,12.85,Windy,Medium,Afternoon,scooter,delivery,23.0,55.0,0.0,18.0,7.0,29.0,4.7,Unknown,61.0,0.5,7.0,50.0,0.0,1.3,24.03,0,Low,5000,1201.5
,902,1.02,Clear,Medium,Afternoon,cycle,delivery,29.0,45.0,0.0,25.0,4.0,29.0,4.7,Unknown,34.0,0.5,0.0,50.0,0.0,1.5,26.0,0,Low,5000,1300.0
,60,6.84,Rain,Medium,Night,car,delivery,24.0,85.0,2.5,14.0,8.0,29.0,4.7,Unknown,47.0,0.5,27.5,50.0,0.0,0.8,33.98,0,Moderate,5000,1699.0
,329,8.68,Rain,Medium,Morning,cycle,delivery,24.0,85.0,2.5,8.0,5.0,29.0,4.7,Unknown,52.0,0.5,27.5,50.0,0.0,1.5,31.36,0,Moderate,5000,1568.0
,97,10.69,Clear,Medium,Night,cycle,delivery,29.0,45.0,0.0,25.0,9.0,29.0,4.7,Unknown,67.0,0.5,0.0,50.0,0.0,1.5,27.04,0,Low,5000,1351.9999999999998
,313,0.99,Clear,Medium,Evening,cycle,delivery,29.0,45.0,0.0,15.0,5.0,29.0,4.7,Unknown,32.0,0.5,0.0,50.0,0.0,1.5,19.93,0,Low,5000,996.5
,975,1.11,Clear,Low,Morning,cycle,delivery,29.0,45.0,0.0,5.0,6.0,29.0,4.7,Unknown,8.0,0.25,0.0,25.0,0.0,1.5,15.45,0,Low,5000,772.5
,300,2.16,Snow,Low,Evening,scooter,delivery,0.0,88.0,1.5,15.0,0.0,29.0,4.7,Unknown,36.0,0.25,58.1,25.0,0.0,1.3,39.27,0,Moderate,5000,1963.5000000000002
,278,13.17,Windy,Medium,Afternoon,cycle,delivery,23.0,55.0,0.0,16.0,4.0,29.0,4.7,Unknown,67.0,0.5,7.0,50.0,0.0,1.5,26.79,0,Low,5000,1339.4999999999998
,925,8.79,Snow,Low,Night,cycle,delivery,0.0,88.0,1.5,14.0,6.0,29.0,4.7,Unknown,43.0,0.25,58.1,25.0,0.0,1.5,36.77,0,Moderate,5000,1838.5000000000002
,602,5.93,Clear,Low,Afternoon,scooter,delivery,29.0,45.0,0.0,19.0,3.0,29.0,4.7,Unknown,36.0,0.25,0.0,25.0,0.0,1.3,16.78,0,Low,5000,839.0
,440,2.09,Rain,Low,Night,cycle,delivery,24.0,85.0,2.5,23.0,2.0,29.0,4.7,Unknown,36.0,0.25,27.5,25.0,0.0,1.5,22.45,0,Low,5000,1122.5
,838,7.57,Clear,Low,Morning,cycle,delivery,29.0,45.0,0.0,21.0,0.0,29.0,4.7,Unknown,56.0,0.25,0.0,25.0,0.0,1.5,16.39,0,Low,5000,819.5000000000001
,571,10.52,Rain,Medium,Afternoon,scooter,delivery,24.0,85.0,2.5,8.0,4.0,29.0,4.7,Unknown,56.0,0.5,27.5,50.0,0.0,1.3,33.75,0,Moderate,5000,1687.5
,880,4.83,Rain,Low,Morning,car,delivery,24.0,85.0,2.5,25.0,9.0,29.0,4.7,Unknown,47.0,0.25,27.5,25.0,0.0,0.8,26.1,1,Low,5000,1305.0
,262,19.81,Snow,Medium,Afternoon,car,delivery,0.0,88.0,1.5,20.0,5.0,29.0,4.7,Unknown,104.0,0.5,58.1,50.0,0.0,0.8,39.37,1,Moderate,5000,1968.5
,579,10.1,Rain,Low,Evening,car,delivery,24.0,85.0,2.5,8.0,4.0,29.0,4.7,Unknown,50.0,0.25,27.5,25.0,0.0,0.8,21.62,0,Low,5000,1081.0
,24,7.64,Windy,Low,Afternoon,car,delivery,23.0,55.0,0.0,10.0,8.0,29.0,4.7,Unknown,31.0,0.25,7.0,25.0,0.0,0.8,13.34,0,Low,5000,667.0
,31,12.35,Clear,Low,Morning,scooter,delivery,29.0,45.0,0.0,10.0,6.0,29.0,4.7,Unknown,35.0,0.25,0.0,25.0,0.0,1.3,13.18,0,Low,5000,659.0
,618,5.9,Rain,Low,Evening,car,delivery,24.0,85.0,2.5,26.0,9.0,29.0,4.7,Unknown,44.0,0.25,27.5,25.0,0.0,0.8,24.63,0,Low,5000,1231.5
,11,0.9,Clear,Low,Afternoon,cycle,delivery,29.0,45.0,0.0,20.0,8.0,29.0,4.7,Unknown,23.0,0.25,0.0,25.0,0.0,1.5,16.3,0,Low,5000,815.0
,222,11.58,Clear,Medium,Morning,scooter,delivery,29.0,45.0,0.0,16.0,2.0,29.0,4.7,Unknown,61.0,0.5,0.0,50.0,0.0,1.3,22.89,0,Low,5000,1144.5
,821,16.16,Clear,High,Afternoon,cycle,delivery,29.0,45.0,0.0,11.0,1.0,29.0,4.7,Unknown,82.0,0.75,0.0,75.0,0.0,1.5,32.71,0,Moderate,5000,1635.5
,297,15.51,Clear,Low,Evening,cycle,delivery,29.0,45.0,0.0,17.0,9.0,29.0,4.7,Unknown,69.0,0.25,0.0,25.0,0.0,1.5,15.12,0,Low,5000,756.0
,55,12.16,Windy,High,Evening,scooter,delivery,23.0,55.0,0.0,11.0,0.0,29.0,4.7,Unknown,69.0,0.75,7.0,75.0,0.0,1.3,34.25,0,Moderate,5000,1712.5000000000002
,543,4.96,Rain,High,Morning,cycle,delivery,24.0,85.0,2.5,21.0,0.0,29.0,4.7,Unknown,60.0,0.75,27.5,75.0,0.0,1.5,40.85,1,Moderate,5000,2042.5000000000002
,210,3.64,Windy,High,Evening,cycle,delivery,23.0,55.0,0.0,17.0,6.0,29.0,4.7,Unknown,40.0,0.75,7.0,75.0,0.0,1.5,35.68,0,Moderate,5000,1784.0
,605,2.85,Clear,Low,Morning,scooter,delivery,29.0,45.0,0.0,26.0,0.0,29.0,4.7,Unknown,38.0,0.25,0.0,25.0,0.0,1.3,14.53,0,Low,5000,726.4999999999999
,693,10.4,Clear,Low,Evening,cycle,delivery,29.0,45.0,0.0,16.0,4.0,29.0,4.7,Unknown,52.0,0.25,0.0,25.0,0.0,1.5,14.73,0,Low,5000,736.5000000000001
,663,12.31,Windy,Low,Morning,cycle,delivery,23.0,55.0,0.0,29.0,4.0,29.0,4.7,Unknown,68.0,0.25,7.0,25.0,0.0,1.5,19.01,0,Low,5000,950.5000000000001
,867,3.53,Clear,Medium,Afternoon,cycle,delivery,29.0,45.0,0.0,13.0,7.0,29.0,4.7,Unknown,31.0,0.5,0.0,50.0,0.0,1.5,25.48,0,Low,5000,1274.0000000000002
,71,15.56,Clear,Medium,Evening,cycle,delivery,29.0,45.0,0.0,14.0,3.0,29.0,4.7,Unknown,54.0,0.5,0.0,50.0,0.0,1.5,23.89,1,Low,5000,1194.5
,544,13.6,Clear,Medium,Afternoon,cycle,delivery,29.0,45.0,0.0,27.0,0.0,29.0,4.7,Unknown,87.0,0.5,0.0,50.0,0.0,1.5,24.71,0,Low,5000,1235.5
,108,15.23,Snow,High,Morning,cycle,delivery,0.0,88.0,1.5,5.0,0.0,29.0,4.7,Unknown,62.0,0.75,58.1,75.0,0.0,1.5,58.41,1,Moderate,5000,2920.4999999999995
,494,4.17,Clear,Low,Evening,scooter,delivery,29.0,45.0,0.0,5.0,1.0,29.0,4.7,Unknown,22.0,0.25,0.0,25.0,0.0,1.3,19.49,0,Low,5000,974.5
,591,3.21,Rain,High,Night,scooter,delivery,24.0,85.0,2.5,16.0,0.0,29.0,4.7,Unknown,42.0,0.75,27.5,75.0,0.0,1.3,40.27,1,Moderate,5000,2013.5000000000002
,742,6.38,Snow,Low,Evening,cycle,delivery,0.0,88.0,1.5,16.0,1.0,29.0,4.7,Unknown,111.0,0.25,58.1,25.0,0.0,1.5,34.76,0,Moderate,5000,1737.9999999999998
,293,16.54,Rain,Low,Afternoon,scooter,delivery,24.0,85.0,2.5,6.0,7.0,29.0,4.7,Unknown,51.0,0.25,27.5,25.0,0.0,1.3,22.76,0,Low,5000,1138.0000000000002
,290,12.02,Clear,Low,Morning,car,delivery,29.0,45.0,0.0,9.0,7.0,29.0,4.7,Unknown,41.0,0.25,0.0,25.0,0.0,0.8,14.86,0,Low,5000,742.9999999999999
,653,11.94,Clear,Low,Evening,cycle,delivery,29.0,45.0,0.0,20.0,3.0,29.0,4.7,Unknown,69.0,0.25,0.0,25.0,0.0,1.5,15.45,0,Low,5000,772.5
,40,9.08,Clear,Low,Afternoon,scooter,delivery,29.0,45.0,0.0,14.0,5.0,29.0,4.7,Unknown,49.0,0.25,0.0,25.0,0.0,1.3,15.73,0,Low,5000,786.5
,590,3.46,Snow,Medium,Morning,scooter,delivery,0.0,88.0,1.5,23.0,3.0,29.0,4.7,Unknown,48.0,0.5,58.1,50.0,0.0,1.3,48.33,1,Moderate,5000,2416.5
,308,6.8,Fog,Medium,Morning,scooter,delivery,22.0,80.0,0.1,13.0,7.0,29.0,4.7,Unknown,46.0,0.5,16.5,50.0,0.0,1.3,29.75,0,Low,5000,1487.5
,680,17.38,Rain,Medium,Afternoon,scooter,delivery,24.0,85.0,2.5,11.0,2.0,29.0,4.7,Unknown,92.0,0.5,27.5,50.0,0.0,1.3,35.03,0,Moderate,5000,1751.5
,67,3.25,Clear,Low,Morning,cycle,delivery,29.0,45.0,0.0,23.0,7.0,29.0,4.7,Unknown,32.0,0.25,0.0,25.0,0.0,1.5,17.29,0,Low,5000,864.5
,276,10.28,Clear,Medium,Evening,scooter,delivery,29.0,45.0,0.0,29.0,3.0,29.0,4.7,Unknown,71.0,0.5,0.0,50.0,0.0,1.3,22.82,0,Low,5000,1141.0
,68,16.14,Clear,Low,Night,car,delivery,29.0,45.0,0.0,6.0,9.0,29.0,4.7,Unknown,65.0,0.25,0.0,25.0,0.0,0.8,14.87,0,Low,5000,743.5
,319,3.55,Clear,Medium,Evening,cycle,delivery,29.0,45.0,0.0,23.0,0.0,29.0,4.7,Unknown,43.0,0.5,0.0,50.0,0.0,1.5,23.3,1,Low,5000,1165.0
,549,10.65,Clear,Medium,Afternoon,scooter,delivery,29.0,45.0,0.0,23.0,8.0,29.0,4.7,Unknown,58.0,0.5,0.0,50.0,0.0,1.3,26.68,0,Low,5000,1334.0
,999,19.03,Clear,Low,Afternoon,car,delivery,29.0,45.0,0.0,26.0,5.0,29.0,4.7,Unknown,68.0,0.25,0.0,25.0,0.0,0.8,11.58,0,Low,5000,579.0
,715,7.3,Clear,Low,Night,scooter,delivery,29.0,45.0,0.0,14.0,7.0,29.0,4.7,Unknown,28.0,0.25,0.0,25.0,0.0,1.3,14.29,0,Low,5000,714.5
,754,7.03,Clear,Low,Evening,scooter,delivery,29.0,45.0,0.0,21.0,1.0,29.0,4.7,Unknown,44.0,0.25,0.0,25.0,0.0,1.3,13.07,0,Low,5000,653.5
,328,12.43,Snow,Low,Afternoon,car,delivery,0.0,88.0,1.5,12.0,0.0,29.0,4.7,Unknown,70.0,0.25,58.1,25.0,0.0,0.8,31.24,0,Moderate,5000,1562.0
,383,12.76,Windy,High,Morning,scooter,delivery,23.0,55.0,0.0,27.0,5.0,29.0,4.7,Unknown,74.0,0.75,7.0,75.0,0.0,1.3,34.35,0,Moderate,5000,1717.5000000000002
,452,11.39,Rain,High,Evening,scooter,delivery,24.0,85.0,2.5,14.0,1.0,29.0,4.7,Unknown,72.0,0.75,27.5,75.0,0.0,1.3,37.52,1,Moderate,5000,1876.0000000000002
,523,19.41,Clear,Low,Morning,car,delivery,29.0,45.0,0.0,7.0,3.0,29.0,4.7,Unknown,48.0,0.25,0.0,25.0,0.0,0.8,12.28,0,Low,5000,614.0
,219,13.17,Rain,High,Evening,scooter,delivery,24.0,85.0,2.5,17.0,8.0,29.0,4.7,Unknown,69.0,0.75,27.5,75.0,0.0,1.3,41.36,1,Moderate,5000,2068.0
,788,8.32,Rain,Low,Afternoon,car,delivery,24.0,85.0,2.5,12.0,2.0,29.0,4.7,Unknown,49.0,0.25,27.5,25.0,0.0,0.8,23.96,0,Low,5000,1198.0
,437,1.92,Clear,Low,Nan,cycle,delivery,29.0,45.0,0.0,8.0,7.0,29.0,4.7,Unknown,14.0,0.25,0.0,25.0,0.0,1.5,17.1,0,Low,5000,855.0000000000001
,765,1.15,Clear,Low,Afternoon,scooter,delivery,29.0,45.0,0.0,26.0,4.0,29.0,4.7,Unknown,30.0,0.25,0.0,25.0,0.0,1.3,13.83,0,Low,5000,691.5
,89,17.8,Windy,High,Afternoon,car,delivery,23.0,55.0,0.0,12.0,9.0,29.0,4.7,Unknown,73.0,0.75,7.0,75.0,0.0,0.8,31.78,0,Moderate,5000,1589.0000000000002
,64,7.46,Clear,Medium,Evening,cycle,delivery,29.0,45.0,0.0,8.0,5.0,29.0,4.7,Unknown,42.0,0.5,0.0,50.0,0.0,1.5,24.53,0,Low,5000,1226.5
,827,7.25,Clear,Medium,Afternoon,scooter,delivery,29.0,45.0,0.0,18.0,4.0,29.0,4.7,Unknown,45.0,0.5,0.0,50.0,0.0,1.3,26.97,0,Low,5000,1348.5
,717,16.7,Clear,Medium,Afternoon,scooter,delivery,29.0,45.0,0.0,28.0,1.0,29.0,4.7,Unknown,76.0,0.5,0.0,50.0,0.0,1.3,22.36,0,Low,5000,1118.0
,352,17.2,Rain,High,Afternoon,scooter,delivery,24.0,85.0,2.5,14.0,2.0,29.0,4.7,Unknown,94.0,0.75,27.5,75.0,0.0,1.3,40.94,1,Moderate,5000,2047.0
,937,0.86,Clear,Medium,Afternoon,car,delivery,29.0,45.0,0.0,21.0,7.0,29.0,4.7,Unknown,28.0,0.5,0.0,50.0,0.0,0.8,19.24,0,Low,5000,961.9999999999999
,257,18.76,Clear,Medium,Evening,car,delivery,29.0,45.0,0.0,15.0,2.0,29.0,4.7,Unknown,80.0,0.5,0.0,50.0,0.0,0.8,18.54,0,Low,5000,926.9999999999999
,636,9.22,Clear,Medium,Afternoon,car,delivery,29.0,45.0,0.0,18.0,9.0,29.0,4.7,Unknown,57.0,0.5,0.0,50.0,0.0,0.8,22.11,0,Low,5000,1105.5
,645,2.84,Clear,Low,Evening,scooter,delivery,29.0,45.0,0.0,24.0,2.0,29.0,4.7,Unknown,35.0,0.25,0.0,25.0,0.0,1.3,15.66,0,Low,5000,783.0
,555,17.59,Clear,Low,Morning,cycle,delivery,29.0,45.0,0.0,24.0,6.0,29.0,4.7,Unknown,69.0,0.25,0.0,25.0,0.0,1.5,18.82,0,Low,5000,941.0
,960,14.89,Snow,High,Morning,scooter,delivery,0.0,88.0,1.5,17.0,6.0,29.0,4.7,Unknown,87.0,0.75,58.1,75.0,0.0,1.3,55.17,1,Moderate,5000,2758.5
,169,1.3,Clear,Medium,Evening,cycle,delivery,29.0,45.0,0.0,22.0,4.0,29.0,4.7,Unknown,31.0,0.5,0.0,50.0,0.0,1.5,29.79,0,Low,5000,1489.5
,918,18.99,Rain,High,Afternoon,cycle,delivery,24.0,85.0,2.5,10.0,6.0,29.0,4.7,Unknown,70.0,0.75,27.5,75.0,0.0,1.5,43.23,1,Moderate,5000,2161.5
,529,1.6,Fog,Low,Night,scooter,delivery,22.0,80.0,0.1,24.0,5.0,29.0,4.7,Unknown,37.0,0.25,16.5,25.0,0.0,1.3,20.5,0,Low,5000,1025.0
,824,8.26,Snow,Low,Afternoon,cycle,delivery,0.0,88.0,1.5,15.0,1.0,29.0,4.7,Unknown,57.0,0.25,58.1,25.0,0.0,1.5,33.99,0,Moderate,5000,1699.5000000000002
,986,10.16,Clear,High,Night,cycle,delivery,29.0,45.0,0.0,12.0,5.0,29.0,4.7,Unknown,52.0,0.75,0.0,75.0,0.0,1.5,35.14,0,Moderate,5000,1757.0
,817,12.03,Clear,Medium,Nan,car,delivery,29.0,45.0,0.0,20.0,5.0,29.0,4.7,Unknown,65.0,0.5,0.0,50.0,0.0,0.8,21.74,0,Low,5000,1087.0
,87,14.73,Rain,Low,Afternoon,cycle,delivery,24.0,85.0,2.5,24.0,6.0,29.0,4.7,Unknown,74.0,0.25,27.5,25.0,0.0,1.5,27.18,0,Low,5000,1359.0
,433,12.56,Clear,High,Evening,cycle,delivery,29.0,45.0,0.0,17.0,5.0,29.0,4.7,Unknown,69.0,0.75,0.0,75.0,0.0,1.5,31.47,0,Moderate,5000,1573.5
,185,5.53,Clear,Medium,Afternoon,cycle,delivery,29.0,45.0,0.0,19.0,1.0,29.0,4.7,Unknown,44.0,0.5,0.0,50.0,0.0,1.5,25.7,0,Low,5000,1285.0
,979,10.18,Fog,Medium,Morning,cycle,delivery,22.0,80.0,0.1,25.0,3.0,29.0,4.7,Unknown,73.0,0.5,16.5,50.0,0.0,1.5,31.18,0,Moderate,5000,1559.0
,535,15.5,Clear,Medium,Morning,scooter,delivery,29.0,45.0,0.0,28.0,9.0,29.0,4.7,Unknown,91.0,0.5,0.0,50.0,0.0,1.3,24.28,0,Low,5000,1214.0
,295,2.98,Fog,Medium,Night,cycle,delivery,22.0,80.0,0.1,11.0,2.0,29.0,4.7,Unknown,27.0,0.5,16.5,50.0,0.0,1.5,29.4,0,Low,5000,1470.0
,893,16.69,Fog,Medium,Evening,scooter,delivery,22.0,80.0,0.1,8.0,2.0,29.0,4.7,Unknown,65.0,0.5,16.5,50.0,0.0,1.3,32.15,0,Moderate,5000,1607.5
,426,11.22,Windy,High,Evening,cycle,delivery,23.0,55.0,0.0,25.0,5.0,29.0,4.7,Unknown,79.0,0.75,7.0,75.0,0.0,1.5,40.3,0,Moderate,5000,2014.9999999999998
,714,8.53,Clear,Low,Evening,scooter,delivery,29.0,45.0,0.0,8.0,2.0,29.0,4.7,Unknown,41.0,0.25,0.0,25.0,0.0,1.3,13.03,0,Low,5000,651.5
,261,12.49,Clear,Medium,Morning,cycle,delivery,29.0,45.0,0.0,25.0,4.0,29.0,4.7,Unknown,77.0,0.5,0.0,50.0,0.0,1.5,26.44,0,Low,5000,1322.0000000000002
,238,0.97,Clear,Low,Night,scooter,delivery,29.0,45.0,0.0,24.0,8.0,29.0,4.7,Unknown,26.0,0.25,0.0,25.0,0.0,1.3,9.49,1,Low,5000,500.0
,560,12.6,Windy,Medium,Afternoon,car,delivery,23.0,55.0,0.0,8.0,6.0,29.0,4.7,Unknown,58.0,0.5,7.0,50.0,0.0,0.8,25.29,0,Low,5000,1264.5
,584,6.91,Clear,Medium,Evening,scooter,delivery,29.0,45.0,0.0,28.0,9.0,29.0,4.7,Unknown,56.0,0.5,0.0,50.0,0.0,1.3,20.26,0,Low,5000,1013.0
,446,18.97,Clear,Low,Evening,car,delivery,29.0,45.0,0.0,25.0,4.0,29.0,4.7,Unknown,141.0,0.25,0.0,25.0,0.0,0.8,11.7,0,Low,5000,585.0
,868,4.05,Clear,Medium,Evening,cycle,delivery,29.0,45.0,0.0,20.0,5.0,29.0,4.7,Unknown,44.0,0.5,0.0,50.0,0.0,1.5,22.37,0,Low,5000,1118.5
,801,14.29,Windy,Medium,Morning,cycle,delivery,23.0,55.0,0.0,14.0,7.0,29.0,4.7,Unknown,78.0,0.5,7.0,50.0,0.0,1.5,27.02,0,Low,5000,1351.0
,600,1.3,Fog,Low,Evening,cycle,delivery,22.0,80.0,0.1,19.0,5.0,29.0,4.7,Unknown,29.0,0.25,16.5,25.0,0.0,1.5,23.7,0,Low,5000,1185.0
,850,12.11,Rain,Low,Morning,cycle,delivery,24.0,85.0,2.5,9.0,5.0,29.0,4.7,Unknown,59.0,0.25,27.5,25.0,0.0,1.5,22.17,0,Low,5000,1108.5
,266,14.94,Clear,Medium,Morning,cycle,delivery,29.0,45.0,0.0,11.0,0.0,29.0,4.7,Unknown,62.0,0.5,0.0,50.0,0.0,1.5,24.28,0,Low,5000,1214.0
,996,2.29,Rain,High,Afternoon,car,delivery,24.0,85.0,2.5,8.0,8.0,29.0,4.7,Unknown,80.0,0.75,27.5,75.0,0.0,0.8,38.85,1,Moderate,5000,1942.5
